file_name,f1,precision,recall,anomalies_found,status
real_1.csv,0.5714285714285714,0.4,1.0,5,WEAK
real_10.csv,0.896551724137931,0.8125,1.0,16,ELITE
real_11.csv,1.0,1.0,1.0,19,ELITE
real_12.csv,0.8,0.6666666666666666,1.0,3,ELITE
real_13.csv,0.8,1.0,0.6666666666666666,6,ELITE
real_14.csv,0.0,0.0,0.0,7,WEAK
real_15.csv,1.0,1.0,1.0,8,ELITE
real_16.csv,0.6666666666666666,0.5,1.0,6,WEAK
real_17.csv,1.0,1.0,1.0,131,ELITE
real_18.csv,0.0,0.0,0.0,2,WEAK
real_19.csv,0.9962546816479401,0.9925373134328358,1.0,134,ELITE
real_2.csv,0.9142857142857143,0.8421052631578947,1.0,19,ELITE
real_20.csv,0.36363636363636365,1.0,0.2222222222222222,2,WEAK
real_21.csv,0.631578947368421,0.46153846153846156,1.0,13,WEAK
real_22.csv,1.0,1.0,1.0,63,ELITE
real_23.csv,0.5714285714285714,0.6666666666666666,0.5,3,WEAK
real_24.csv,0.967741935483871,0.9375,1.0,16,ELITE
real_25.csv,1.0,1.0,1.0,43,ELITE
real_26.csv,0.0,0.0,0.0,2,WEAK
real_27.csv,0.4444444444444444,0.2857142857142857,1.0,7,WEAK
real_28.csv,0.0,0.0,0.0,0,WEAK
real_29.csv,0.4444444444444444,0.4,0.5,5,WEAK
real_3.csv,0.9655172413793104,0.9333333333333333,1.0,15,ELITE
real_30.csv,0.0,0.0,0.0,6,WEAK
real_31.csv,0.9787234042553191,1.0,0.9583333333333334,23,ELITE
real_32.csv,0.6388888888888888,0.92,0.48936170212765956,25,WEAK
real_33.csv,1.0,1.0,1.0,2,ELITE
real_34.csv,0.75,0.6,1.0,10,ELITE
real_35.csv,0.0,0.0,0.0,4,WEAK
real_36.csv,0.0,0.0,0.0,0,WEAK
real_37.csv,0.9315068493150684,0.8717948717948718,1.0,39,ELITE
real_38.csv,0.75,0.75,0.75,8,ELITE
real_39.csv,0.4,0.3333333333333333,0.5,3,WEAK
real_4.csv,0.5333333333333333,0.4,0.8,10,WEAK
real_40.csv,0.024096385542168676,0.3333333333333333,0.0125,3,WEAK
real_41.csv,0.36363636363636365,0.2222222222222222,1.0,9,WEAK
real_42.csv,0.3333333333333333,0.625,0.22727272727272727,16,WEAK
real_43.csv,0.2,1.0,0.1111111111111111,3,WEAK
real_44.csv,0.0,0.0,0.0,3,WEAK
real_45.csv,0.6666666666666666,0.5,1.0,2,WEAK
real_46.csv,0.0,0.0,0.0,0,WEAK
real_47.csv,0.7142857142857143,0.5555555555555556,1.0,9,ELITE
real_48.csv,0.0,0.0,0.0,0,WEAK
real_49.csv,0.0,0.0,0.0,2,WEAK
real_5.csv,0.0,0.0,0.0,4,WEAK
real_50.csv,0.9333333333333333,0.875,1.0,8,ELITE
real_51.csv,0.6666666666666666,0.5,1.0,6,WEAK
real_52.csv,0.9333333333333333,0.875,1.0,8,ELITE
real_53.csv,0.9375,0.8823529411764706,1.0,17,ELITE
real_54.csv,0.0,0.0,0.0,0,WEAK
real_55.csv,0.8571428571428571,1.0,0.75,3,ELITE
real_56.csv,0.8571428571428571,1.0,0.75,3,ELITE
real_57.csv,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,WEAK
real_58.csv,1.0,1.0,1.0,43,ELITE
real_59.csv,0.0,0.0,0.0,0,WEAK
real_6.csv,0.9411764705882353,0.8888888888888888,1.0,9,ELITE
real_60.csv,0.3448275862068966,0.2631578947368421,0.5,19,WEAK
real_61.csv,0.25,0.14285714285714285,1.0,7,WEAK
real_62.csv,0.2222222222222222,0.2,0.25,5,WEAK
real_63.csv,0.8421052631578947,0.7272727272727273,1.0,11,ELITE
real_64.csv,0.0,0.0,0.0,5,WEAK
real_65.csv,0.21052631578947367,1.0,0.11764705882352941,2,WEAK
real_66.csv,0.6,0.631578947368421,0.5714285714285714,19,WEAK
real_67.csv,0.15384615384615385,0.6666666666666666,0.08695652173913043,3,WEAK
real_7.csv,0.0,0.0,0.0,0,WEAK
real_8.csv,0.6451612903225806,0.47619047619047616,1.0,21,WEAK
real_9.csv,0.4,0.5,0.3333333333333333,2,WEAK
