timestamp,value,is_anomaly
1,0.0,0
2,0.091757964510557,0
3,0.1722967523845,0
4,0.22621935431999,0
5,0.17635798469946,0
6,0.090491245476051,0
7,0.08460994072769,0
8,0.06842699169496,0
9,0.13330269689422,0
10,0.085026586189321,0
11,0.097073068447328,0
12,0.0,0
13,0.031063767542922,0
14,0.017732750501525,0
15,0.063354504072079,0
16,0.087870391896335,0
17,0.11546815687729,0
18,0.073413457727404,0
19,0.040392584616896,0
20,0.089113355947223,0
21,0.098030053711531,0
22,0.047140641497552,0
23,0.10481279080241,0
24,0.20478886838928,0
25,0.044851006319212,0
26,0.1053622140254,0
27,0.08436887679639,0
28,0.097980673762982,0
29,0.10165726215275,0
30,0.056764513454874,0
31,0.074428708878932,0
32,0.091244453451818,0
33,0.094529332881679,0
34,0.016638011234698,0
35,0.038096861957006,0
36,0.064497814457643,0
37,0.030426401876334,0
38,0.095423209955973,0
39,0.069688744272108,0
40,0.03468622413034,0
41,0.089564461084836,0
42,0.073376161964568,0
43,0.061939295606039,0
44,0.11419089175512,0
45,0.10475925920163,0
46,0.079657960399444,0
47,0.14475546275416,0
48,0.1421711341096,0
49,0.076969639696569,0
50,0.063932734364448,0
51,0.14973281021845,0
52,0.041478839355346,0
53,0.089317973365284,0
54,0.088820248166203,0
55,0.054872994406929,0
56,0.079135533290464,0
57,0.16317996709063,0
58,0.086719266992802,0
59,0.0733999511789,0
60,0.0,0
61,0.032756244361869,0
62,0.054893891024455,0
63,0.068514114108229,0
64,0.052794141631654,0
65,0.023853017353212,0
66,0.074261254415598,0
67,0.024228588329879,0
68,0.092334130025197,0
69,0.15930655332113,0
70,0.12755838225296,0
71,0.10152541717054,0
72,0.040148453968244,0
73,0.087208372094752,0
74,0.074209918996797,0
75,0.059044537369404,0
76,0.062481698329215,0
77,0.088765276857146,0
78,0.051354431854972,0
79,0.074790104163639,0
80,0.091817341555971,0
81,0.14762794333026,0
82,0.071010044475103,0
83,0.076897563342406,0
84,0.084125757873884,0
85,0.063289213866033,0
86,0.057393902128707,0
87,0.041819399065704,0
88,0.073729686380986,0
89,0.15365285617975,0
90,0.060355859742407,0
91,0.10644586288975,0
92,0.059314286360127,0
93,0.096293806236591,0
94,0.085101425467407,0
95,0.11149072274185,0
96,0.076266981262989,0
97,0.097952120177625,0
98,0.17250021935572,0
99,0.11389182319254,0
100,0.08999961787521,0
